id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	allowed_filetypes	alphasort	answer_width	answer_width_bycolumn	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_input_columns	choice_title	code_filter	commented_checkbox	commented_checkbox_auto	cssclass	date_format	date_max	date_min	display_columns	display_rows	display_type	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	equation	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	input_size	label_input_columns	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	max_subquestions	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	prefix	printable_help	public_statistics	question_template	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_custom_handle	slider_default	slider_default_set	slider_handle	slider_layout	slider_max	slider_middlestart	slider_min	slider_orientation	slider_rating	slider_reset	slider_reversed	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_columns	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown	value_range_allows_missing
45		SL		surveyls_survey_id		629389		ca																																																																																																																																									
46		SL		surveyls_language		ca		ca																																																																																																																																									
47		SL		surveyls_title		eina d'auto-diagnosi 		ca																																																																																																																																									
48		SL		surveyls_url				ca																																																																																																																																									
49		SL		surveyls_email_invite_subj		Invitation to participate in a survey		ca																																																																																																																																									
50		SL		surveyls_email_invite		"Dear {FIRSTNAME},<br /><br />you have been invited to participate in a survey.<br /><br />The survey is titled:<br />""{SURVEYNAME}""<br /><br />""{SURVEYDESCRIPTION}""<br /><br />To participate, please click on the link below.<br /><br />Sincerely,<br /><br />{ADMINNAME} ({ADMINEMAIL})<br /><br />----------------------------------------------<br />Click here to do the survey:<br />{SURVEYURL}<br /><br />If you do not want to participate in this survey and don't want to receive any more invitations please click the following link:<br />{OPTOUTURL}<br /><br />If you are blacklisted but want to participate in this survey and want to receive invitations please click the following link:<br />{OPTINURL}"		ca																																																																																																																																									
51		SL		surveyls_email_remind_subj		Reminder to participate in a survey		ca																																																																																																																																									
52		SL		surveyls_email_remind		"Dear {FIRSTNAME},<br /><br />Recently we invited you to participate in a survey.<br /><br />We note that you have not yet completed the survey, and wish to remind you that the survey is still available should you wish to take part.<br /><br />The survey is titled:<br />""{SURVEYNAME}""<br /><br />""{SURVEYDESCRIPTION}""<br /><br />To participate, please click on the link below.<br /><br />Sincerely,<br /><br />{ADMINNAME} ({ADMINEMAIL})<br /><br />----------------------------------------------<br />Click here to do the survey:<br />{SURVEYURL}<br /><br />If you do not want to participate in this survey and don't want to receive any more invitations please click the following link:<br />{OPTOUTURL}"		ca																																																																																																																																									
53		SL		surveyls_email_register_subj		Survey registration confirmation		ca																																																																																																																																									
54		SL		surveyls_email_register		Dear {FIRSTNAME},<br /><br />You, or someone using your email address, have registered to participate in an online survey titled {SURVEYNAME}.<br /><br />To complete this survey, click on the following URL:<br /><br />{SURVEYURL}<br /><br />If you have any questions about this survey, or if you did not register to participate and believe this email is in error, please contact {ADMINNAME} at {ADMINEMAIL}.		ca																																																																																																																																									
55		SL		surveyls_email_confirm_subj		Confirmation of your participation in our survey		ca																																																																																																																																									
56		SL		surveyls_email_confirm		Dear {FIRSTNAME},<br /><br />this email is to confirm that you have completed the survey titled {SURVEYNAME} and your response has been saved. Thank you for participating.<br /><br />If you have any further questions about this email, please contact {ADMINNAME} on {ADMINEMAIL}.<br /><br />Sincerely,<br /><br />{ADMINNAME}		ca																																																																																																																																									
57		SL		surveyls_dateformat		1		ca																																																																																																																																									
58		SL		email_admin_notification_subj		Response submission for survey {SURVEYNAME}		ca																																																																																																																																									
59		SL		email_admin_notification		Hello,<br /><br />A new response was submitted for your survey '{SURVEYNAME}'.<br /><br />Click the following link to see the individual response:<br />{VIEWRESPONSEURL}<br /><br />Click the following link to edit the individual response:<br />{EDITRESPONSEURL}<br /><br />View statistics by clicking here:<br />{STATISTICSURL}		ca																																																																																																																																									
60		SL		email_admin_responses_subj		Response submission for survey {SURVEYNAME} with results		ca																																																																																																																																									
61		SL		email_admin_responses		Hello,<br /><br />A new response was submitted for your survey '{SURVEYNAME}'.<br /><br />Click the following link to see the individual response:<br />{VIEWRESPONSEURL}<br /><br />Click the following link to edit the individual response:<br />{EDITRESPONSEURL}<br /><br />View statistics by clicking here:<br />{STATISTICSURL}<br /><br /><br />The following answers were given by the participant:<br />{ANSWERTABLE}		ca																																																																																																																																									
62		SL		surveyls_numberformat		0		ca																																																																																																																																									
63		G	1	Autogestió d'Equips	1	Preguntes temàtiques de Autogestió d'Equips		ca																																																																																																																																									
64		Q	L	nDJ-105	1	Les diferents tasques, rols i responsabilitats del vostre equip estan ben definides?		ca		Y	N																																																																																																																																						
65		A	0	a1		No		ca													0.0																																																																																																																												
66		A	0	a2		Sí		ca													0.0																																																																																																																												
67		Q	L	nDJ-111	nDJ-105.NAOK=='a2'	Has definit i implantat un organigrama  funcional a l'entitat amb les seves funcions,  tasques i responsabilitats?		ca		Y	N																																																																																																																																						
68		A	0	a1		No		ca													0.0																																																																																																																												
69		A	0	a2		Sí		ca													0.0																																																																																																																												
70		Q	L	nDJ-133	nDJ-111.NAOK=='a2' || nDJ-111.NAOK=='a1'	Teniu determinades tasques productives i/o reproductives  que presenten una demanda fluctuant? (en hores del dia, dies de la setmana o estacional)		ca		Y	N																																																																																																																																						
71		A	0	a1		No		ca													0.0																																																																																																																												
72		A	0	a2		Sí		ca													0.0																																																																																																																												
73		Q	L	nDJ-120	nDJ-133.NAOK=='a1' || nDJ-133.NAOK=='a1' || nDJ-140.NAOK=='a1' || nDJ-140.NAOK=='a2' || nDJ-140.NAOK=='a3' || nDJ-140.NAOK=='a1' || nDJ-140.NAOK=='a2' || nDJ-140.NAOK=='a3'	Els objectius i la visió de l'entitat estan ben definides?		ca		Y	N																																																																																																																																						
74		A	0	a1		Sí		ca													0.0																																																																																																																												
75		A	0	a2		No		ca													0.0																																																																																																																												
76		Q	L	nDJ-140	nDJ-133.NAOK=='a2' || nDJ-133.NAOK=='a2'	Planifiqueu les tasques i/o càrregues de treball per aquests canvis periòdics? I si ho feu, com ho feu?		ca		Y	N																																																																																																																																						
77		A	0	a1		No		ca													0.0																																																																																																																												
78		A	0	a2		Sí qualitatiu		ca													0.0																																																																																																																												
79		A	0	a3		Sí quantitatiu		ca													0.0																																																																																																																												
80		Q	L	nDJ-125	nDJ-120.NAOK=='a1' || nDJ-120.NAOK=='a1' || nDJ-120.NAOK=='a1' || nDJ-120.NAOK=='a1' || nDJ-120.NAOK=='a1' || nDJ-120.NAOK=='a1' || nDJ-120.NAOK=='a1' || nDJ-120.NAOK=='a1'	Realitzeu avaluacions periòdiques d'acompliment d'objectius de les persones clau de l'entitat?		ca		Y	N																																																																																																																																						
81		A	0	a1		No		ca													0.0																																																																																																																												
82		A	0	a2		Sí		ca													0.0																																																																																																																												
83		Q	L	nDJ-151	nDJ-125.NAOK=='a2' || nDJ-125.NAOK=='a2' || nDJ-125.NAOK=='a2' || nDJ-125.NAOK=='a2' || nDJ-125.NAOK=='a2' || nDJ-125.NAOK=='a2' || nDJ-125.NAOK=='a2' || nDJ-125.NAOK=='a2'	Calculeu i seguiu la productivitat de les hores  productives i reproductives?		ca		Y	N																																																																																																																																						
84		A	0	a1		No		ca													0.0																																																																																																																												
85		A	0	a2		Sí		ca													0.0																																																																																																																												
86		Q	X	nDJ-108	nDJ-105.NAOK=='a1'	Acompanyament: Organització Interna (per entitats recentment constituides)		ca		N	N																																																																																																																																						
87		Q	X	nDJ-113	nDJ-111.NAOK=='a1'	Acompanyament: Organització Interna (per entitats en procés de consolidació)		ca		N	N																																																																																																																																						
88		Q	X	nDJ-128	nDJ-120.NAOK=='a2' || nDJ-120.NAOK=='a2' || nDJ-125.NAOK=='a1' || nDJ-125.NAOK=='a1' || nDJ-120.NAOK=='a2' || nDJ-120.NAOK=='a2' || nDJ-120.NAOK=='a2' || nDJ-120.NAOK=='a2' || nDJ-120.NAOK=='a2' || nDJ-120.NAOK=='a2' || nDJ-125.NAOK=='a1' || nDJ-125.NAOK=='a1' || nDJ-125.NAOK=='a1' || nDJ-125.NAOK=='a1' || nDJ-125.NAOK=='a1' || nDJ-125.NAOK=='a1'	Acompanyament: Planificació estratègica		ca		N	N																																																																																																																																						
89		Q	X	nDJ-142	nDJ-140.NAOK=='a1' || nDJ-140.NAOK=='a1'	Determinació de KPIs (càrrega de feina)		ca		N	N																																																																																																																																						
90		Q	X	nDJ-144	nDJ-140.NAOK=='a2' || nDJ-140.NAOK=='a2'	Acompanyament: Gestió de tasques i projectes		ca		N	N																																																																																																																																						
91		Q	X	nDJ-146	nDJ-140.NAOK=='a3' || nDJ-140.NAOK=='a3'	Optimització d'assignació decàrrega de feina		ca		N	N																																																																																																																																						
92		Q	X	nDJ-152	nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1'	Determinació de KPIs(productivitat)		ca		N	N																																																																																																																																						
93		Q	X	nDJ-153	nDJ-105.NAOK=='a1' || nDJ-120.NAOK=='a2' || nDJ-120.NAOK=='a2' || nDJ-125.NAOK=='a1' || nDJ-151.NAOK=='a2' || nDJ-125.NAOK=='a1' || nDJ-151.NAOK=='a2' || nDJ-151.NAOK=='a1' || nDJ-120.NAOK=='a2' || nDJ-120.NAOK=='a2' || nDJ-120.NAOK=='a2' || nDJ-151.NAOK=='a1' || nDJ-120.NAOK=='a2' || nDJ-120.NAOK=='a2' || nDJ-120.NAOK=='a2' || nDJ-125.NAOK=='a1' || nDJ-151.NAOK=='a2' || nDJ-125.NAOK=='a1' || nDJ-151.NAOK=='a2' || nDJ-125.NAOK=='a1' || nDJ-151.NAOK=='a2' || nDJ-125.NAOK=='a1' || nDJ-151.NAOK=='a2' || nDJ-125.NAOK=='a1' || nDJ-151.NAOK=='a2' || nDJ-125.NAOK=='a1' || nDJ-151.NAOK=='a2' || nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1' || nDJ-151.NAOK=='a1'	CONTINUA A GESTIÓ DE RELACIONS AMB CLIENTS		ca		N	N																																																																																																																																						
94		G	2	Relacions amb les sociés	1	Preguntes temàtiques de Relacions amb les sociés		ca																																																																																																																																									
95		Q	M	4Rov-54	1	"Quin tipus de sòcies o ""clientes"" teniu?"		ca		Y	N																																																																																																																																						
96		SQ	0	a1		Entitats privades		ca													0.0																																																																																																																												
97		SQ	0	a2		Usuàries finals		ca													0.0																																																																																																																												
98		SQ	0	a3		Entitats públiques		ca													0.0																																																																																																																												
99		Q	L	4Rov-59	4Rov-54_a1.NAOK=='Y' || 4Rov-54_a2.NAOK=='Y' || 4Rov-54_a3.NAOK=='Y'	Utilitzeu eines de gestió de clients (CRM) al vostre negoci?		ca		Y	N																																																																																																																																						
100		A	0	a1		No		ca													0.0																																																																																																																												
101		A	0	a2		Sí 		ca													0.0																																																																																																																												
102		Q	M	4Rov-25	4Rov-59.NAOK=='a2' || 4Rov-59.NAOK=='a2' || 4Rov-59.NAOK=='a2'	Coneixeu els principals canals que utilitzen per interactuar amb vosaltres?		ca		Y	N																																																																																																																																						
103		SQ	0	a1		Per les xarxes socials		ca													0.0																																																																																																																												
104		SQ	0	a2		Per telèfon/missatgeria instantània&nbsp;		ca													0.0																																																																																																																												
105		SQ	0	a3		No ho sé		ca													0.0																																																																																																																												
106		SQ	0	a4		Per correu electrònic		ca													0.0																																																																																																																												
107		Q	M	D4Rov-3	4Rov-59.NAOK=='a1' || 4Rov-59.NAOK=='a1' || 4Rov-59.NAOK=='a1'	Coneixeu els principals canals que utilitzen per interactuar amb vosaltres?		ca		Y	N																																																																																																																																						
108		SQ	0	a1		Correu electrònic 		ca													0.0																																																																																																																												
109		SQ	0	a2		Presencialment		ca													0.0																																																																																																																												
110		SQ	0	a3		Por la plataforma ecommerce pàgina de web		ca													0.0																																																																																																																												
111		SQ	0	a4		Telèfon/missatgeria instantània		ca													0.0																																																																																																																												
112		Q	L	4Rov-47	4Rov-25_a1.NAOK=='Y' || 4Rov-25_a2.NAOK=='Y' || 4Rov-25_a1.NAOK=='Y' || 4Rov-25_a2.NAOK=='Y' || 4Rov-25_a1.NAOK=='Y' || 4Rov-25_a2.NAOK=='Y'	Apareixen i s'integren al vostre CRM?		ca		Y	N																																																																																																																																						
113		A	0	a1		No		ca													0.0																																																																																																																												
114		A	0	a2		Sí		ca													0.0																																																																																																																												
115		Q	L	4Rov-64	4Rov-25_a4.NAOK=='Y' || 4Rov-25_a4.NAOK=='Y' || 4Rov-25_a4.NAOK=='Y'	Llegir i respondre als correus electrònics requereix d'un temps considerable del vostre equip de persones?		ca		Y	N																																																																																																																																						
116		A	0	a1		Sí		ca													0.0																																																																																																																												
117		A	0	a2		No		ca													0.0																																																																																																																												
118		Q	L	4Rov-24	4Rov-47.NAOK=='a2' || 4Rov-47.NAOK=='a2' || 4Rov-64.NAOK=='a2' || 4Rov-47.NAOK=='a2' || 4Rov-47.NAOK=='a2' || 4Rov-64.NAOK=='a2' || 4Rov-47.NAOK=='a2' || 4Rov-47.NAOK=='a2' || 4Rov-64.NAOK=='a2' || 4Rov-47.NAOK=='a1' || 4Rov-47.NAOK=='a1' || 4Rov-64.NAOK=='a1' || 4Rov-47.NAOK=='a1' || 4Rov-47.NAOK=='a1' || 4Rov-64.NAOK=='a1' || 4Rov-47.NAOK=='a1' || 4Rov-47.NAOK=='a1' || 4Rov-64.NAOK=='a1'	"Sabeu quants contactes/interaccions generalment necessiteu perquè les potencials sòcies o ""clientes"" es decideixin a comprar-vos?"		ca		Y	N																																																																																																																																						
119		A	0	a1		No		ca													0.0																																																																																																																												
120		A	0	a2		Sí		ca													0.0																																																																																																																												
121		Q	L	4Rov-12	4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2' || 4Rov-24.NAOK=='a2'	"Coneixeu quin % de persones / entitats que us contacten es converteixen en ""clientes"" / sòcies / usuàries?"		ca		Y	N																																																																																																																																						
122		A	0	a1		Sí		ca													0.0																																																																																																																												
123		A	0	a2		No		ca													0.0																																																																																																																												
124		Q	X	4Rov-45	4Rov-59.NAOK=='a1' || 4Rov-59.NAOK=='a1' || 4Rov-59.NAOK=='a1'	Plataforma de CRM 		ca		N	N																																																																																																																																						
125		Q	X	4Rov-21	4Rov-25_a3.NAOK=='Y' || 4Rov-25_a3.NAOK=='Y' || 4Rov-25_a3.NAOK=='Y' || 4Rov-24.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2'	Determinació de KPIs(canals comercials)		ca		N	N																																																																																																																																						
126		Q	X	4Rov-11	D4Rov-3_a1.NAOK=='Y' || D4Rov-3_a3.NAOK=='Y' || D4Rov-3_a4.NAOK=='Y' || D4Rov-3_a1.NAOK=='Y' || D4Rov-3_a3.NAOK=='Y' || D4Rov-3_a4.NAOK=='Y' || D4Rov-3_a1.NAOK=='Y' || D4Rov-3_a3.NAOK=='Y' || D4Rov-3_a4.NAOK=='Y'	"Solució personalitzada de gestió de dades (per les sòcies, usuàries, ""clientes"") "		ca		N	N																																																																																																																																						
127		Q	X	4Rov-43	D4Rov-3_a2.NAOK=='Y' || D4Rov-3_a2.NAOK=='Y' || D4Rov-3_a2.NAOK=='Y'	Comptador de persones		ca		N	N																																																																																																																																						
128		Q	X	4Rov-46	4Rov-47.NAOK=='a1' || 4Rov-47.NAOK=='a1' || 4Rov-47.NAOK=='a1' || 4Rov-47.NAOK=='a1' || 4Rov-47.NAOK=='a1' || 4Rov-47.NAOK=='a1'	Integració dels canals comercials al CRM		ca		N	N																																																																																																																																						
129		Q	X	4Rov-10	4Rov-64.NAOK=='a1' || 4Rov-64.NAOK=='a1' || 4Rov-64.NAOK=='a1'	Classificació dels correu electrònics		ca		N	N																																																																																																																																						
130		Q	X	4Rov-23	4Rov-25_a3.NAOK=='Y' || 4Rov-25_a3.NAOK=='Y' || 4Rov-25_a3.NAOK=='Y' || D4Rov-3_a1.NAOK=='Y' || D4Rov-3_a2.NAOK=='Y' || D4Rov-3_a3.NAOK=='Y' || D4Rov-3_a4.NAOK=='Y' || D4Rov-3_a1.NAOK=='Y' || D4Rov-3_a2.NAOK=='Y' || D4Rov-3_a3.NAOK=='Y' || D4Rov-3_a4.NAOK=='Y' || D4Rov-3_a1.NAOK=='Y' || D4Rov-3_a2.NAOK=='Y' || D4Rov-3_a3.NAOK=='Y' || D4Rov-3_a4.NAOK=='Y' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-24.NAOK=='a1' || 4Rov-12.NAOK=='a1' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2' || 4Rov-12.NAOK=='a2'	CONTINUA A MÀRQUETING		ca		N	N																																																																																																																																						
